"# of Use","# Terpakai"
"%1$s incl tax.","%1$s sudah termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Produk"
"Save Attribute Set","Simpan Set Atribut"
"Save Category","Simpan Kategori"
"Save Search","Simpan pencarian"
"Save and Continue Edit","Simpan dan lanjutkan sunting"
"Saved %d record(s)","Simpan %d catat(s)"
"Scope","lingkup"
"Scope must not be changed, because the attribute is used in configurable products.","Scope tidak boleh diganti, karena atribut digunakan pada produk bervarian."
"Search","Cari"
"Search Engine Optimizations","Optimalisasi Mesin Pencarian"
"Search Information","Pencarian Informasi"
"Search Query","Cari Pertanyaan"
"Search Term with such search query already exists.","Istilah Pencarian dengan pertanyaan pencarian sudah ada."
"Searchable","Dapat dicari"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"Select Category...","Pilih Kategori..."
"Select Configurable Attributes ","Pilih atribut yang dapat dikonfigurasi "
"Select Product...","Pilih Produk..."
"Select type of option","Pilih tipe pilihan"
"Select type options required values rows.","Pilih opsi jenis yang dibutuhkan baris nilai."
"Selected Product Types","Pilih Tipe Produk"
"Selected configuration is not available.","Konfigurasi Terpilih tidak tersedia."
"Send Count","Banyak Terkirim"
"Set Ascending Direction","Set arah secara menaik"
"Set Descending Direction","Set arah secara menurun"
"Set Name","Set Nama"
"Set Root Category for Store","Set Kategori Root untuk toko"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set kategori sumber untuk toko ini di <a href=""%s"">konfigurasi</a>"
"Set special price","Set harga khusus"
"Set/Get current store view","Set/Dapatkan tampilan toko saat ini"
"Settings","Setelan"
"Shop By","Belanja Oleh"
"Shopping Options","Pilih sesuai keinginan"
"Show","Lihat"
"Show Details","Lihat Detil"
"Show Tags","Lihat Tag"
"Simple Product","Produk Sederhana"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, required field ""%s"" for the new customer is not defined.","Lewati impor baris, kolom dibutuhkan""%s"" untuk pelanggan baru tidak ditetapkan."
"Skipping import row, required field ""%s"" is not defined.","lewati impor baris, kolom dibutuhkan ""%s"" tidak ditetapkan."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","lewati impor baris, nilai ""%s"" tidak berlaku untuk ""%s"" kolom."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Beberapa produk olahan tidak memiliki SKU nilai yang di tetapkan.Silahkan memenuhinya sebelum melakukan operasi terhadap produk ini. "
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Beberapa produk di bawah ini tidak memiliki semua pilihan yang diperlukan. Silakan sunting produk tersebut dan konfigurasi pada opsi yang dibutuhkan."
"Sort By","Urutkan berdasarkan"
"Sort Order","urutkan pesanan"
"Source Model","Sumber Model"
"Special Expires On: %s","Kadaluarsa Khusus pada: %s"
"Special Price:","Harga khusus:"
"Special Price: %s","Harga Khusus: %s"
"Starting at:","Mulai dari:"
"Static","Statis"
"Static block and products","Blok statis dan produk"
"Static block only","Blok statis saja"
"Status","Status"
"Stock Availability","Ketersediaan Stok"
"Store","Toko"
"Store View","Tampilan Toko"
"Stretch","Renggang"
"Subscribe to RSS Feed","Mendaftarkan diri ke RSS Feed"
"Super product attributes configuration","Ubah konfigurasi atribut"
"Synonym For","Sinonim Untuk"
"System Properties","Properti Sistem"
"Tag Name","Nama tag"
"Tax","Pajak"
"Template","template"
"Text","Teks"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Modul katalog flat mempunyai batas dari %2\$d dapat di filter dan/atau atribut dapat diurutkan. saat ini adalah %1\$d dari modul tersebut. mohon kurangi jumlah dari atribut yang dapat di filter/diurutkan untuk menggunakan modul ini"
"The attribute model is not defined","Model atribut tidak ditentukan"
"The attribute set has been saved.","Set atribut sudah disimpan."
"The base directory to upload file is not specified.","Direktori dasar mengunggah file tidak ditentukan."
"The category has been deleted.","Kategori tersebut telah dihapus."
"The category has been saved.","Kategori tersebut telah disimpan."
"The comparison list was cleared.","Daftar perbandingan telah dihapus. "
"The file you uploaded is larger than %s Megabytes allowed by server","file yang Anda unggah lebih besar dari %s Megabytes yang diperbolehkan oleh Server"
"The filters must be an array.","Penyaring harus sebuah array. "
"The image contents is not valid base64 data.","Isi gambar tidak berlaku base64 data. "
"The image is not specified.","Gambar tidak ditentukan."
"The model collection resource name is not defined.","Nama sumber kolksei Model tidak didefinisikan."
"The product %s has been added to comparison list.","produk %s telah ditambahkan ke daftar perbandingan."
"The product %s has been removed from comparison list.","produk %s telah dihapus dari daftar perbandingan."
"The product attribute has been deleted.","Atribut produk sudah dihapus."
"The product attribute has been saved.","Atribut produk sudah disimpan."
"The product has been created.","Produk sudah dibuat."
"The product has been deleted.","Produk sudah dihapus."
"The product has been duplicated.","Produk sudah diduplikasi."
"The product has been saved.","Produk sudah disimpan."
"The product has required options","Produk membutuhkan pilihan"
"The review has been deleted","Tinjauan sudah dihapus"
"The review has been saved.","Tinjauan sudah disimpan."
"The review was removed by another user or does not exist.","Tinjauan sudah di hapus oleh pengguna lain atau sudah tidak ada."
"The search was deleted.","Pencarian sudah dihapus."
"The text is too long","Teks terlalu panjang"
"There are no %s available.","Tidak %s tersedia."
"There are no customers for this alert","Tidak ada pelanggan dari tanda ini"
"There are no customers for this alert.","Tidak ada pelanggan dari tanda ini."
"There are no products matching the selection.","Tidak ada produk yang cocok dari pilihan."
"There was an error while request processing.","error terjadi ketika memproses permintaan."
"This Attribute no longer exists","Atribut ini tidak ada"
"This attribute cannot be deleted.","Atribut tidak dapat dihapus."
"This attribute cannot be edited.","Atribut tidak dapat disunting."
"This attribute cannot be updated.","Atribut ini tidak dapat diperbarui."
"This attribute is used in configurable products.","Atribut ini digunakan pada produk bervarian."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Atribut ini digunakan dalam produk bervarian. Anda tidak dapat menghapusnya dari set atribut."
"This attribute no longer exists","Atribut ni tidak ada"
"This attribute set no longer exists.","Set atribut ini tidak ada lagi."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Grup ini mengandung atribut, yang digunakan dalam konfigurasi produk. Mohon pindahkan atribut ini ke grup lain dan coba lagi."
"This group contains system attributes. Please move system attributes to another group and try again.","Kelompok ini mengandung atribut sistem. Tolong pindahkan atribut sistem ke kelompok lain dan coba lagi."
"This is a required option","Ini dibutuhkan pilihan"
"This product no longer exists.","Produk ini sudah tidak ada."
"This search no longer exists.","Pencarian ini sudah tidak ada."
"Tier Pricing","Deretan Harga"
"Tile","Kotak-Kotak"
"Time Format","Format waktu"
"Title","Judul"
"To reindex the enabled product(s), the store or product must be specified","Untuk mengindeks produk tersebut, toko atau produk harus dipilih"
"To see product price, add this item to your cart. You can always remove it later.","Untuk melihat harga produk, tambahkan item ini ke cart Anda. Anda tetap dapat membatalkannya."
"Top/Left","Atas/Kiri"
"Top/Right","Atas/Kanan"
"Total Qty Base Items","Total kuantitas barang dasar"
"Total incl. Tax: %1$s","Total termasuk pajak: %1$s"
"Total of %d record(s) have been deleted.","Total dari %d record Telah dihapus."
"Total of %d record(s) have been updated.","Total of %d record telah dihapus."
"Type","Tipe"
"URL Rewrite Management","Manajemen URL Rewrite"
"Unable to complete this request.","Tidak dapat melengkapi permintaan ini."
"Unable to find a search term to delete.","Tidak dapat menemukan syarat pencarian untuk dihapus."
"Unable to find an attribute to delete.","Tidak dapat menemukan atribut untuk dihapus."
"Unable to get the product ID.","Tidak dapat mendapatkan produk ID."
"Unassigned Attributes","Atribut yang tidak ditugaskan"
"Unknown EAV indexer type ""%s"".","Tipe indexer EAV tidak diketahui ""%s""."
"Unknown attribute: %s.","Atribut tidak di ketahui: %s."
"Unsupported product type ""%s"".","Tipe produk tidak didukung ""%s""."
"Up-sells","Up-sells"
"Update","perbarui"
"Update Attributes","Perbarui atribut"
"Update Tier Price","perbarui kelompok harga"
"Update assigned product","perbarui produk yang ditandai"
"Update attributes","Perbarui Atribut"
"Update category","Perbarui kategori"
"Update product","Perbarui produk"
"Update product image","Perbarui gambar produk"
"Update product link","perbarui tautan produk"
"Update product tier prices","Perbarui kelompok harga produk"
"Upload new product image ","Unggah gambar produk baru "
"Url Rewrite Management","Pengelolaan Url Rewrite"
"Use Canonical Link Meta Tag For Categories","Penggunaan link canonical meta tag untuk kategori"
"Use Canonical Link Meta Tag For Products","Penggunaan link canonical meta tag untuk Produk"
"Use Categories Path for Product URLs","Gunakan Path kategori untuk Produk URLs"
"Use Config Settings","Gunakan setelan konfigurasi"
"Use Default Value","Gunakan Nilai Patokan"
"Use Flat Catalog Category","Gunakan kategori katalog flat"
"Use Flat Catalog Product","Gunakan produk katalog flat"
"Use In Layered Navigation","Gunakan dalam navigasi berlapis"
"Use In Search Results Layered Navigation","Gunakan pada hasil pencarian navigasi berlapis"
"Use JavaScript Calendar","Gunakan kalender JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gunakan URLs statis untuk Media Content pada WYSIWYG untuk katalog"
"Use To Create Configurable Product","Gunakan untuk Membuat Produk yang dapat Dikonfigurasikan"
"Use Tree Like Category Sitemap","Gunakan turunan seperti kategori Sitemap"
"Use config","Gunakan konfigurasi"
"Use default","Gunakan standar"
"Use for Promo Rule Conditions","gunakan untuk kondisi aturan promo"
"Use four-digit year format.","Gunakan Format tahun empat digit."
"Use in Advanced Search","Gunakan dalam pencarian lanjutan"
"Use in Layered Navigation","Gunakan dalam navigasi berlapis"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gunakan dalam navigasi berlapis<br/>(hanya dapat digunakan dengan masukan katalog tipe 'Dropdown')"
"Use in Quick Search","gunakan dalam pencarian cepat"
"Used for Sorting in Product Listing","Gunakan untuk memilah dalam daftar produk"
"Used in Product Listing","gunakan dalam daftar produk"
"Value for ""%s"" is invalid.","Nilai untuk ""%s"" Tidak berlaku."
"Value for ""%s"" is invalid: %s","Nilai untuk""%s"" tidak berlaku: %s"
"Varchar","Varchar"
"View as","Lihat sebagai"
"Virtual Product","Produk Maya"
"Visibility","terlihat"
"Visible","Tampak"
"Visible on Catalog Pages on Front-end","Tampak pada Halam Katalog pada Halaman Depan"
"Visible on Product View Page on Front-end","Terlihat pada halaman tampilan produk ujung depan"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Tanda air"
"Watermark Default Size","Ukuran Patokan Tanda air"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Letak Stampel"
"We Also Recommend","Kami juga merekomendasikan"
"Website","situs"
"Websites","situs"
"What's this?","Apa ini?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Apakah menampilkan ""semua"" opsi pada ""lihat X Per halaman"" dropdown."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Barang konfigurasi yang salah Contohnya di grup pilihan."
"Wrong configuration item option instance in options group.","Barang pilihan konfigurasi yang salah Contohnya di grup pilihan."
"Wrong option instance type in options group.","Pilihan yang salah Contohnya jenis di grup pilihan."
"Wrong option type to get group instance.","Jenis pilihan yang salah untuk mendapatkan contoh grup."
"Wrong product instance type in options group.","Produk yang salah contohnya jenis dari grup pilihan."
"Wrong product type filter specified","Jenis Produk yang salah filter ditentukan"
"Wrong product type to extract configurable options.","Jenis produk yang salah untuk mengambil pilihan konfigurasi."
"Year Range","Kisaran tahun"
"Yes","Ya"
"You cannot remove system attribute from this set.","Anda tidak dapat membuang atribut dari set ini"
"You have no items to compare.","Anda belum memilih produk untuk dibandingkan."
"You may also be interested in the following product(s)","Anda mungkin akan tertarik pada produk-produk ini"
"Zoom In","Perbesar"
"Zoom Out","Perkecil"
"[GLOBAL]","[UMUM]"
"and","dan"
"categories","Kategori"
"each","setiap"
"ex. http://domain.com","Cth. http://domain.com"
"leave blank if its not an image","tidak perlu diisi jika bukan sebuah gambar"
"per page","per halaman"
"products","produk"
"px.","px."
"save","simpan"
"select all","Pilih Semua"
"unselect all","Tidak memilih semua"
"x","x"
