"-OR-","-ATAU-"
"Website Payments Plus","Situs Pembayaran plus"
"Website Payments Plus Settings","Pengaturan Situs Pembayaran plus"
"Website Payments Pro","situs pembayaran Pro"
"Website Payments Pro (Payflow Edition) Settings","Pengaturan Pembayaran Situs Web Pro (edisi Payflow)"
"Website Payments Pro Hosted Solution","Situs Pembayaran Solusi Hosted Pro"
"Website Payments Pro Hosted Solution Settings","Pengaturan solusi hosted situs pembayaran pro"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Edisi Situs Pembayaran Pro Payflow (termasuk Express Checkout)"
"Website Payments Pro Settings","Pengaturan situs pembayaran pro."
"Website Payments Standard","Situs pembayaran standar."
"Website Payments Standard Payment","situs pembayaran standar pembayaran."
"Website Payments Standard Settings","Pengaturan situs pembayaran standar"
"What is PayPal?","Apa itu paypal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Baik untuk membuat perjanjian penagihan, jika tidak ada perjanjian penagihan aktif yang tersedia."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Akan muncul sebagai pilihan pembayaran hanya untuk pelanggan yang memiliki setidaknya satu perjanjian penagihan aktif."
"WorldLink Withdrawal","Penarikan worldlink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Apakah Anda ingin menandatangani perjanjian penagihan untuk merampingkan pembelian lebih lanjut dengan PayPal?"
"Wrong PayPal Express Checkout Token specified.","PayPal Express Checkout salah Token ditentukan."
"Yes","Ya"
"Yes. Matched Address and five-didgit ZIP","Ya. Mencocokan alamat dan lima-digit ZIP"
"You will be redirected to the PayPal website in a few seconds.","Anda akan diarahkan ke situs PayPal dalam beberapa detik"
"You will be redirected to the PayPal website when you place an order.","Anda akan diarahkan ke situs PayPal saat Anda memesan."
"You will be redirected to the PayPal website.","Anda akan diarahkan ke situs PayPal."
"You will be required to enter your payment details after you place an order.","Anda akan diminta untuk memasukkan rincian pembayaran setelah Anda melakukan pemesanan."
"eBay Auction Payment","Pembayaran lelang eBay"
